Rk,Player,Age,Tm,Pos,GP,CF,CA,CF%,CF% rel,FF,FA,FF%,FF% rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TOI/60,TOI(EV),TK,GV,E+/-,SAtt.,Thru%,-9999
742,Wayne Simmonds,31,BUF,RW,7,82,79,50.9,2.1,60,59,50.4,3.5,5.7,91.3,97.0,49.0,51.0,12:40,11:24,3,1,-1.7,16,56.3,simmowa01
743,Dominik Simon,25,PIT,C,64,865,763,53.1,3.1,666,581,53.4,2.7,7.2,90.0,97.2,58.5,41.5,14:24,13:40,41,31,3.0,180,56.7,simondo01
744,Colton Sissons,26,NSH,C,57,545,656,45.4,-6.7,422,458,48.0,-4.4,9.4,90.6,100.0,30.6,69.4,14:20,11:35,14,25,-4.2,92,56.5,sissoco01
745,Jeff Skinner,27,BUF,LW/C,59,742,748,49.8,-0.2,558,582,48.9,-0.6,7.1,90.0,97.1,52.1,47.9,16:29,13:57,28,24,-1.3,291,62.9,skinnje01
746,Brady Skjei,25,TOT,D,67,1104,1266,46.6,-1.6,845,976,46.4,-2.8,8.9,89.8,98.6,47.2,52.8,20:41,17:58,36,55,-9.1,,,skjeibr01
746,Brady Skjei,25,NYR,D,60,982,1158,45.9,-1.5,754,889,45.9,-2.5,8.8,90.4,99.2,46.8,53.2,20:41,17:59,30,52,-8.0,215,57.7,skjeibr01
746,Brady Skjei,25,CAR,D,7,122,108,53.0,-2.5,91,87,51.1,-5.1,9.2,83.6,92.8,50.0,50.0,20:50,17:53,6,3,-1.1,24,62.5,skjeibr01
747,Jaccob Slavin,25,CAR,D,68,1355,1100,55.2,1.7,1063,855,55.4,3.2,10.4,91.0,101.4,52.8,47.2,23:24,19:17,81,49,16.9,293,49.5,slavija01
748,Brendan Smith,30,NYR,D,62,433,561,43.6,-4.0,331,407,44.9,-2.9,4.7,90.8,95.5,47.1,52.9,11:06,8:58,18,24,-7.3,87,51.7,smithbr05
749,Craig Smith,30,NSH,C,69,850,701,54.8,5.2,667,525,56.0,5.8,9.6,93.6,103.1,51.3,48.7,13:25,11:02,26,26,7.6,280,65.7,smithcr01
750,Dalton Smith,27,BUF,LW,1,1,0,100.0,47.8,1,0,100.0,48.2,100.0,,,50.0,50.0,1:26,1:26,0,0,0.1,0,,smithda03
